Feature,Permutation_Importance,Gradient_Importance,SHAP_Importance,Permutation_Importance_normalized,Gradient_Importance_normalized,SHAP_Importance_normalized,Average_Importance
IHSG,0.00593357126706863,0.012348693814128637,0.002095342228706103,1.0,1.0,1.0,1.0
MA10,0.0024741644214533245,0.007080968869850039,0.0009337598018993866,0.4718454874864102,0.5402894277654368,0.44563593913534283,0.4859236181290632
RSI14,0.0007572066539280139,0.0049567231815308335,3.5659921484736864e-06,0.20971413573079986,0.3549080323293164,0.0017018662152748793,0.18877467809179704
MACD,0.00014634252970067668,0.001982406007591635,0.0,0.11645229688341047,0.09534150892460402,0.0,0.07059793526933816
MACD_Signal,-0.0004595090985454334,0.003080470017157495,7.830001411046961e-05,0.02395572575085976,0.19116876633218122,0.03736860405797326,0.08416436538033807
BZ=F,0.00012384698482869987,0.003324214890599251,0.0,0.11301785737808154,0.21244020636263555,0.0,0.10848602124690569
EURUSD=X,0.00014638503415355486,0.002182768457569182,0.0,0.11645878612263308,0.11282699601966176,0.0,0.07642859404743162
GBPUSD=X,-4.975101771867932e-06,0.001334718558937311,0.0,0.09335033361291861,0.03881829049547633,0.0,0.044056208036131646
GC=F,-1.5813420963539427e-05,0.0015903810085728764,0.0,0.09169562590012116,0.061129768840318344,0.0,0.050941798246813164
HG=F,-0.00017574879432637395,0.0008899080858100206,0.0,0.06727797486286581,0.0,0.0,0.02242599162095527
NG=F,-0.00018690001935806706,0.002210976858623326,0.0,0.06557549519413067,0.11528872291838813,0.0,0.06028807270417293
SI=F,3.146725212075542e-05,0.0013309142971411347,0.0,0.09891406014580718,0.03848629530101391,0.0,0.0458001184822737
USDIDR=X,8.030797104025293e-05,0.0033659896161407233,0.0,0.10637066968695885,0.21608585665507735,0.0,0.10748550878067874
^GDAXI,-0.0006164188658402356,0.0030030681425705554,0.0005396784639342395,0.0,0.1844139603324798,0.2575610115334223,0.14732499062196738
^GSPC,0.00017997512856325428,0.002607747740112245,0.0005619002042372606,0.12158705253649132,0.14991463275701625,0.26816631504832517,0.17988933344727762
^IXIC,2.9699911496476317e-05,0.0020715882442891597,0.0004383156956945166,0.09864423674326502,0.10312437866420693,0.20918573094629098,0.13698478211792098
FedFundsRate,0.0,0.0016033110744319856,0.0,0.09410989227956022,0.06225816640055498,0.0,0.05212268622670507
