Feature,Permutation_Importance
IHSG,0.00593357126706863
MA10,0.0024741644214533245
RSI14,0.0007572066539280139
^GSPC,0.00017997512856325428
EURUSD=X,0.00014638503415355486
MACD,0.00014634252970067668
BZ=F,0.00012384698482869987
USDIDR=X,8.030797104025293e-05
SI=F,3.146725212075542e-05
^IXIC,2.9699911496476317e-05
FedFundsRate,0.0
GBPUSD=X,-4.975101771867932e-06
GC=F,-1.5813420963539427e-05
HG=F,-0.00017574879432637395
NG=F,-0.00018690001935806706
MACD_Signal,-0.0004595090985454334
^GDAXI,-0.0006164188658402356
